41S- 138/C,"MCKENZIE CREEK CULVERT,   Hwy. 17",49.686,-92.4925,1899,54.8,
41S- 139/C,"BLACKWATER CREEK CULVERT,   Hwy. 17",49.7394,-92.6236,1899,26.6,
41S- 140/C,"MOOSE CREEK CULVERT,   Hwy. 17",49.815076,-92.990691,1899,30.6,
41S- 142/C,"MELGUND CREEK TRIB. CULVERT,   Hwy. 603",49.5916,-92.3336,1899,17.3,
41S- 144/C,"OSAQUAN CREEK CULVERT,   Hwy. 17",49.4479,-91.7572,1899,27.2,
41S- 147/C,"DECEPTION LAKE CULVERT,   Hwy. 516",50.1834,-91.7967,1899,31.5,
41S- 148/C,"SHOSHOWAE CREEK EAST CULVERT,   Hwy. 17",49.815076,-92.988232,1899,49.7,
41S- 151/C,"MOTH LAKE CULVERT,   Hwy. 17",49.727165,-94.986172,1899,24.7,
41S- 247/C,"DINORWIC LAKE CULVERT,   Hwy. 17",49.6918,-92.5287,1899,63.7,
41S- 255/C,"Minnikau River Culverts, Hwy. 642",49.9543,-91.6054,1899,18.39,
41S- 256/C,"Aubrey Lake Culvert, Hwy. 642",50.0585,-91.7348,1899,13.4,
44 - 563/C,PEEVERS CREEK CULVERT,45.94965,-79.57924,1899,39.9,
45 - 137/C,"WESTOVERS CREEK CULVERT,   Hwy. 11",48.64883,-94.00257,1899,37.7,
45 - 139/C,"RAMSDALE CREEK CULVERT,   Hwy. 11",48.632571,-93.831789,1899,32.3,
45 - 140/C,"MANITOU CREEK CULVERT,   Hwy. 11",48.642184,-93.907904,1899,36.5,
45 - 141/C,"MAXIMILLIAN CREEK CULVERT,   Hwy. 71",48.828382,-93.916243,1899,26.1,
45 - 142/C,"TOBY HILL CREEK CULVERT,   Hwy. 71",48.837,-93.9159,1899,25.6,
45 - 146/C,"WATSON CREEK CULVERT,   Hwy. 602",48.5378,-93.5532,1899,40.3,
45 - 147/C,"SHAW CREEK CULVERT,   Hwy. 11",48.6603,-94.0444,1899,21.4,
45 - 148/C,"ARMSTRONG CREEK CULVERT,   Hwy. 11",48.675318,-94.119758,1899,19.8,
45 - 149/C,"DILKE CREEK TIMBER CULVERT No. 2,   Hwy. 11",48.700097,-94.260856,1899,30.5,
45 - 151/C,"LYON CREEK CULVERT NO. 1,   Hwy. 602",48.6252,-93.8239,1899,18.8,
45 - 153/C,MILLERS CREEK CULVERTS Hwy. 11,48.722215,-94.545767,1899,24.8,
45 - 154/C,"GERHARD CREEK CULVERTS,   Hwy. 619",48.904313,-94.29442,1899,19.6,
45 - 155/C,"PETERSON CREEK CULVERTS,   Hwy. 619",48.9268,-94.2952,1899,20,
45 - 159/C,"Pinewood River Tributary Culvert No. 1,   Hwy. 617",48.7353,-94.1639,1899,21.7,
45 - 160/C,"CAMERON CREEK CULVERT,   Hwy. 11",48.678411,-94.140064,1899,20,
45 - 162/C,"BUNTING CREEK CULVERT,   Hwy. 11",48.721899,-94.389419,1899,43.5,
